neighborhood,postal_town,locality,administrative_area_level_1,country,postal_code
Kilnamanagh,,Laragan,County Sligo,Ireland,
Townparks,,Midleton,County Cork,Ireland,P25 AP28
Portmarnock,,Portmarnock,County Dublin,Ireland,D13 WR12
Kilnamanagh,Dublin 24,,County Dublin,Ireland,D24 R2K7
Scartlea Lower,,Cloyne,County Cork,Ireland,P25 D772
Ballycotton,,Ballycotton,County Cork,Ireland,
Moraghy,,Castleblayney,County Monaghan,Ireland,A75 TX97
Knockfereen,,Ballinrobe,County Mayo,Ireland,F31 ER23
Kilnabrack Upper,,Glenbeigh,County Kerry,Ireland,
Dublin Docklands,Dublin 1,,County Dublin,Ireland,D01 CH50
Parkroe,,Ardnacrusha,County Clare,Ireland,V94 PXR4
Ballsbridge,Dublin 4,,County Dublin,Ireland,D04 HR25
,,Dublin,County Dublin,Ireland,D12 FP58
Parkroe,,Ardnacrusha,County Clare,Ireland,V94 PXR4
Lismore,,Lismore,County Waterford,Ireland,
Ballinatone Lower,,Keatingstown,County Wicklow,Ireland,
Bohernabredagh,,Bredagh Cross,County Cork,Ireland,
Ballymooney,,Portlaoise,County Laois,Ireland,R32 WYH7
Callystown,,Clogherhead,County Louth,Ireland,A92 Y6R6
Dunlavin Upper,,Dunlavin,County Wicklow,Ireland,W91 V1Y5
Bellview,,Mullingar,County Westmeath,Ireland,N91 X6K0
Ballyhooleen,,Gortnaclogh Upper,County Cork,Ireland,
,,Kilkenny,County Kilkenny,Ireland,
Cloncollog,,Tullamore,County Offaly,Ireland,R35 X3T6
Dunlo,,Ballinasloe,County Galway,Ireland,H53 KW50
Montpelier,,Monkstown,County Dublin,Ireland,A94 D763
Dublin Docklands,,Dublin,County Dublin,Ireland,
,,Limerick,County Limerick,Ireland,
Gortnahomna More,,Gort An Óir,County Cork,Ireland,P25 K306
Cloncollog,,Tullamore,County Offaly,Ireland,R35 X3T6
Curraghakimikeen,,Croughmakeen,County Limerick,Ireland,
Santry,Dublin 9,,County Dublin,Ireland,D09 H3C3
Ardaravan,,Buncrana,County Donegal,Ireland,F93 DH99
Lettergullion,,Crowdrummin,County Longford,Ireland,
Kingstown,Dublin 16,,County Dublin,Ireland,D16 VF78
Nenagh South,,Nenagh,County Tipperary,Ireland,E45 AE22
Glencar Irish,,Letterkenny,County Donegal,Ireland,F92 Y5D1
,,Limerick,County Limerick,Ireland,V94 Y5CX
Shrule,,Sandyhill,County Galway,Ireland,
Brickhill West,,Cratloe,County Clare,Ireland,V95 EK00
Ardan,,Eiscir Meadows,County Offaly,Ireland,R35 W8N1
Ballinatray Lower,,,County Wexford,Ireland,Y25 X670
Gort,,Gort,County Galway,Ireland,
Ballina,,Ballina,County Tipperary,Ireland,V94 T2XH
Ankers Bower,,Athlone,County Westmeath,Ireland,
Clonbarrow,,Mountrath,County Laois,Ireland,R32 Y472
Castleredmond,,Midleton,County Cork,Ireland,
Ballsbridge,Dublin 4,,County Dublin,Ireland,D04 C8P7
Dromin Upper,,Listowel,County Kerry,Ireland,V31 XN51
,,Kilfee,County Wicklow,Ireland,
Deanestown,Dublin 15,,County Dublin,Ireland,D15 YP5N
Cloncollog,,Tullamore,County Offaly,Ireland,R35 C2D3
Rock,,Scrogganstown,County Louth,Ireland,
,,Waterford,County Waterford,Ireland,
,,Ballaghaderreen,County Roscommon,Ireland,F45 T665
Cloncollog,,Tullamore,County Offaly,Ireland,R35 V2N4
Omoresforest,,o'moore Forest,County Laois,Ireland,
,,Carlow,County Carlow,Ireland,R93 FP90
Levallyroe,,Rockfort,County Mayo,Ireland,
Askeaton,,Askeaton,County Limerick,Ireland,
,Dublin 15,,County Dublin,Ireland,
,,Youghal,County Cork,Ireland,
,,Waterford,County Waterford,Ireland,X91 XR6X
Drumcondra,Dublin 9,,County Dublin,Ireland,D09 Y7N1
Ballygarvey,,Ballybrittas,County Wexford,Ireland,
Cabinteely,,Cabinteely,County Dublin,Ireland,D18 CX21
,,Waterford,County Waterford,Ireland,
,,Swords,County Dublin,Ireland,K67 E277
Townparks,,Dundalk,County Louth,Ireland,A91 V9T3
,,Waterford,County Waterford,Ireland,X91 N7X8
Gully,,Bandon,County Cork,Ireland,P72 TF40
Lettergesh West,,Gowlaun,County Galway,Ireland,
Newford,,Ross,County Galway,Ireland,
Tullyglass,,Shannon,County Clare,Ireland,V14 RK61
,,Dublin,County Dublin,Ireland,
Leitrim,,Leitrim Village,County Leitrim,Ireland,N41 KN79
Tankardstown,,Balbriggan,County Dublin,Ireland,K32 KR22
,Dublin 8,,County Dublin,Ireland,D08 Y0H2
Poulacurry South,,Glanmire,County Cork,Ireland,T45 CD42
,,Galway,County Galway,Ireland,
Carrowbehy,,Tawnaghbeg,County Roscommon,Ireland,
Greenfield,,Kanturk,County Cork,Ireland,
Lisnacroghy,,,County Roscommon,Ireland,F42 EH02
,,Athy,County Kildare,Ireland,R14 A521
Lurganboy,,Cavan,County Cavan,Ireland,H12 YY54
Loughbollard Commons,,Clane,County Kildare,Ireland,W91 E6X3
Curragh,,Castlebar,County Mayo,Ireland,F23 CF95
Brenanstown,Dublin 18,,County Dublin,Ireland,D18 VX48
Dernacart,,Derincart,County Laois,Ireland,
Shrone East,,Bedford Crossroads,County Kerry,Ireland,
Altvelid,,Ballintogher,County Sligo,Ireland,F91 R2Y7
Coolderry,,Coolderry Lower,County Monaghan,Ireland,
Clonshagh,,Dublin,County Dublin,Ireland,D17 HC89
Millsessiagh,,Drumnahaw,County Donegal,Ireland,
Knockthomas,,Castlebar,County Mayo,Ireland,F23 TE20
Curraghcreen,,Tuam,County Galway,Ireland,H54 RH42
Howth Demesne,Dublin 13,,County Dublin,Ireland,
Castletowndelvin,,Delvin,County Westmeath,Ireland,
Lossets,,Barnadonagh,County Monaghan,Ireland,
Hansfield,,Dublin,County Dublin,Ireland,D15 P8RY
Townparks,,Ballyshannon,County Donegal,Ireland,
Clooncrooeel,,Coolloughra,County Mayo,Ireland,
Meelcon,,Cross of The Wood,County Kerry,Ireland,
,,Dublin,County Dublin,Ireland,
Nymphhall,,Dunmore East,County Waterford,Ireland,X91 C6C0
Nymphhall,,Dunmore East,County Waterford,Ireland,X91 W9T8
Garryantanvally,,Tanavalla Industrial Estate,County Kerry,Ireland,
,,,County Monaghan,Ireland,
Rathdown Lower,,Greystones,County Wicklow,Ireland,A63 YE39
Cleaghmore,,Ballinasloe,County Galway,Ireland,
Kiltipper,Dublin 24,,Contae Bhaile Átha Cliath,Ireland,D24 VX05
,Dublin 4,,County Dublin,Ireland,D04 A7X3
Cloonybeirne,,Roscommon,County Roscommon,Ireland,
,Dublin 3,,County Dublin,Ireland,D03 KW94
Cloghroe,,Blarney,County Cork,Ireland,T23 EE71
Cloonfiugh,,,County Longford,Ireland,
Clontarf,Dublin 3,,County Dublin,Ireland,D03 Y4E1
Pembroke,,Passage West,County Cork,Ireland,T12 FD85
Killiney,,Killiney,County Dublin,Ireland,
Derrymihin West,,Castletown-Bearhaven,County Cork,Ireland,P75 HR90
Castlepaliser,,Carne,County Wexford,Ireland,Y35 W244
Rathkelly,,Western Pride Holiday Homes,County Mayo,Ireland,
Clasheen,,Lios Na Greine,County Kerry,Ireland,
,,Limerick,County Limerick,Ireland,
Jobstown,,Dublin,County Dublin,Ireland,D24 E9E2
Roundhill,,Bandon,County Cork,Ireland,P72 PY84
Jobstown,,Dublin,County Dublin,Ireland,D24 NFP2
Lakyle,,Lakeisle,County Clare,Ireland,
Tullyvaragh Upper,,Tullyvaragh,County Monaghan,Ireland,
Dysert,,Ardmore,County Waterford,Ireland,
Kilbrogan,,Bandon,County Cork,Ireland,P72 H020
Mill Lands,,Gorey,County Wexford,Ireland,Y25 E5F2
Tiryrone,,Terryrone,County Donegal,Ireland,
Newtown,,Tramore,County Waterford,Ireland,X91 W6T4
Kenmare,,Kenmare,County Kerry,Ireland,V93 E270
Crockshane,,Crookshane,County Dublin,Ireland,
Murphystown,Dublin 18,,County Dublin,Ireland,D18 A3V6
Drummond Otra,,Carrickmacross,County Monaghan,Ireland,A81 F218
Drumavanagh,,Cavan,County Cavan,Ireland,H12 EP84
Killeen,,Dooros,County Galway,Ireland,
,,Dublin,County Dublin,Ireland,D04 Y3C9
,Dublin 3,,County Dublin,Ireland,D03 Y195
Nymphhall,,Dunmore East,County Waterford,Ireland,X91 C6C0
,,,County Tipperary,Ireland,E21 Y902
Stillorgan,,Dublin,County Dublin,Ireland,
,,Tuam,County Galway,Ireland,
,Dublin 12,,County Dublin,Ireland,D12 R8X9
Curraghmore,,Posture,County Wexford,Ireland,
Coolquane,,Coolequane,County Cork,Ireland,
Ballinlough,,Cork,County Cork,Ireland,
Letter,,Claggan,County Donegal,Ireland,
Temple Bar,,Dublin,County Dublin,Ireland,D02 F884
Shannabooly,,Limerick,County Limerick,Ireland,V94 W82H
Reenmeen East,,Reenmeen Woods,County Cork,Ireland,
,,Dublin,County Dublin,Ireland,
Drumnanarragh,,Drumanarragh,County Cavan,Ireland,
Rockhill,,Portnablagh,County Donegal,Ireland,F92 X2N7
Farrankelly,,Eden Gate,County Wicklow,Ireland,
Mountjoy,Dublin 1,,County Dublin,Ireland,
Mountjoy,Dublin 1,,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,D04 W5T7
Dough,,Kilkee,County Clare,Ireland,V15 H329
,,Limerick,County Limerick,Ireland,
Shanagarry North,,Shanagarry,County Cork,Ireland,P25 EF24
Gully,,Bandon,County Cork,Ireland,P72 HH60
Bawnlahan,,Forenaught East,County Cork,Ireland,
Glenageary,,Ballybrack,County Dublin,Ireland,A96 A2K3
Ballymabin,,Dunmore East,County Waterford,Ireland,X91 P2P4
Newtowndonore,,Newtown Donore,County Kildare,Ireland,
,Dublin 12,,County Dublin,Ireland,D12 F5W6
Townparks,,Dundalk,County Louth,Ireland,A91 E516
Lannat,,Lannat Cross,County Louth,Ireland,
,,Cork,County Cork,Ireland,
Killacloran,,Aughrim,County Wicklow,Ireland,Y14 X397
Drum,,Portsalon,County Donegal,Ireland,F92 FA46
Mountjoy,Dublin 1,,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,
Tirloughan,,Carrigart,County Donegal,Ireland,
,,Cork,County Cork,Ireland,T12 YX8P
Muntermellan,,The Ross,County Donegal,Ireland,
Arm,,Castlerea,County Roscommon,Ireland,
Clynagh,,Sruthan,County Galway,Ireland,
Drom,,Drom,County Tipperary,Ireland,
Dunreagh,,Ashbourne,County Meath,Ireland,A84 RW94
Glenageary,,Dalkey,County Dublin,Ireland,
Pollacullaire,,Headford,County Galway,Ireland,H91 D9XK
Clonroad More,,Ennis,County Clare,Ireland,V95 K8KX
,Dublin 14,,County Dublin,Ireland,D14 AK15
Dalkey,,Killiney,County Dublin,Ireland,
,Dublin 18,,County Dublin,Ireland,D18 TK46
,Dublin 8,,County Dublin,Ireland,D08 V0N0
,,,County Sligo,Ireland,
,,Dublin,County Dublin,Ireland,
Balbriggan,,Balbriggan,County Dublin,Ireland,K32 Y763
,,Dublin,County Dublin,Ireland,
Garryduff,,Castlebar,County Mayo,Ireland,F23 EH73
Leamaneigh Beg,,Lemenaghbeg,County Clare,Ireland,
Cave,,Kilvolan,County Galway,Ireland,
,,Dublin,County Dublin,Ireland,
Ballybough,Dublin 3,,County Dublin,Ireland,D03 K738
,,Carrick-On-Shannon,County Leitrim,Ireland,
Carlow,,Carlow,County Carlow,Ireland,R93 H2F5
,,,County Mayo,Ireland,
Mohill,,,County Leitrim,Ireland,
Glenageary,,Dalkey,County Dublin,Ireland,A96 FT95
Usher's Island,Dublin 8,,County Dublin,Ireland,D08 XN67
,,Lickeen West,County Kerry,Ireland,
,,Lickeen West,County Kerry,Ireland,
Carrowcastle,,Bofield,County Mayo,Ireland,
Liscahill,,Killinan,County Tipperary,Ireland,
Carrignafoy,,Cobh,County Cork,Ireland,P24 V521
Cookstown,,Cookstown Cross,County Louth,Ireland,
Coolmine,Dublin 15,,County Dublin,Ireland,
Ballincurra,,Crawn,County Kilkenny,Ireland,
Cortober,,Carrick-On-Shannon,County Roscommon,Ireland,
Castleknock,Dublin 15,,County Dublin,Ireland,D15 A6YD
Edenderry,,Edenderry,County Offaly,Ireland,R45 VW82
,,Galway,County Galway,Ireland,H91 N79T
Castlefarm,,Swords,County Dublin,Ireland,K67 RH64
Glanlough,,Glanlough,County Cork,Ireland,
Garryduff,,Castlebar,County Mayo,Ireland,F23 V389
Rine,,Old Ennis Road,County Clare,Ireland,
,,Dublin,County Dublin,Ireland,
Drumsna,,Drumsna,County Leitrim,Ireland,N41 YY33
Carrickbeg,,Carrick-On-Suir,County Tipperary,Ireland,E32 CH52
Milltown,,Milltown,County Kerry,Ireland,V93 R2D1
Mullingar,,Mullingar,County Westmeath,Ireland,N91 X2Y4
Johnstown,,Blackrock,County Dublin,Ireland,A94 T6F3
Rathmines,Dublin 6,,County Dublin,Ireland,D06 KR28
Portaliff Glebe,,Killashandra,County Cavan,Ireland,
Tullyeskar,,Tullyesker,County Louth,Ireland,
Newgrove,,Dysertmore,County Kilkenny,Ireland,
Park North,,Midleton,County Cork,Ireland,P25 VY58
Ballybofey,,Ballybofey,County Donegal,Ireland,F93 XHR1
Golden Island (Kilmaine),,Athlone,County Westmeath,Ireland,N37 K2F6
,,Laytown,County Meath,Ireland,A92 V2T6
Cornacarrow,,Drumrane Grove,County Cavan,Ireland,
Sleveen,,Kinsale,County Cork,Ireland,P17 CT96
Kincon,,Kilcon,County Mayo,Ireland,
Fiddown,,Fiddown,County Kilkenny,Ireland,E32 A898
Borheenduff,,Clonmel,County Tipperary,Ireland,E91 Y8C4
The Lough,,Cork,County Cork,Ireland,
Kilbarrack Lower,Dublin 13,,County Dublin,Ireland,D13 R7T3
Ballynerrin Lower,,Wicklow,County Wicklow,Ireland,A67 F242
,,Galway,County Galway,Ireland,H91 R9Y7
Dalkey,,Dalkey,County Dublin,Ireland,A96 YX00
,Dublin 4,,County Dublin,Ireland,D04 A4X6
Grange,,Coolfore Road,County Meath,Ireland,
,,Limerick,County Limerick,Ireland,V94 KH9W
Cunnaker,,Cunnagher,County Mayo,Ireland,
Munnane,,Munane,County Cork,Ireland,
Athy,,Athy,County Kildare,Ireland,R14 YP52
Crobally Upper,,Tramore,County Waterford,Ireland,
,,Dublin,County Dublin,Ireland,
Carrowcushlaun West,,Ballina,County Mayo,Ireland,
Grangecon Parks,,Grangecon,County Wicklow,Ireland,
Kenmare,,Kenmare,County Kerry,Ireland,
Castlefarm,,Dunboyne,County Meath,Ireland,
Laharan West,,Boherbue,County Cork,Ireland,
Crossconnell,,Clonmany,County Donegal,Ireland,F93 HY18
,,Galway,County Galway,Ireland,
Barrysparks,,Swords,County Dublin,Ireland,K67 PH64
Gorteenoona,,Monasterevin,County Kildare,Ireland,W34 PX89
Rushanes,,Glandore,County Cork,Ireland,
Kilmurry,,Thomastown,County Kilkenny,Ireland,R95 R667
Killowen,,Kenmare,County Kerry,Ireland,V93 V654
Townparks,,Borris-in-Ossory,County Laois,Ireland,
Ballintlieve,,Minaduff,County Donegal,Ireland,
Bray,,Bray,County Wicklow,Ireland,A98 E7Y5
Lismanus,,Mountainstown,County Louth,Ireland,
Cametringane,,Castletown-Bearhaven,County Cork,Ireland,P75 N256
Ballsbridge,Dublin 4,,County Dublin,Ireland,
,Dublin 7,,County Dublin,Ireland,D07 H1R8
Mogeely,,Mogeely,County Cork,Ireland,P25 H278
,,,County Kildare,Ireland,W91 X5CF
Ferrybank South,,Wexford,County Wexford,Ireland,Y35 ET88
,Dublin 8,,County Dublin,Ireland,
Ballincrossig,,Glanmire,County Cork,Ireland,T45 YN57
,,Limerick,County Limerick,Ireland,V94 APK8
Poulnacallee,,Poulnacalee,County Cork,Ireland,
,Dublin 8,,County Dublin,Ireland,
Rathsnagadan,,Ballinagoth,County Kilkenny,Ireland,
,Dublin 24,,County Dublin,Ireland,D24 EC95
Annalecka,,Castlebar,County Mayo,Ireland,F23 DV76
Kilcoole,,Kilcoole,County Wicklow,Ireland,
Carrowcally,,Crovinish,County Mayo,Ireland,
Tivoli,,Cork,County Cork,Ireland,
Kilfinnane,,Kilfinane,County Limerick,Ireland,V35 YH76
Mosestown,,Whitegate,County Cork,Ireland,P25 CD72
Sandhill,,,County Donegal,Ireland,F92 T2K6
Kilbarrack Lower,Dublin 13,,County Dublin,Ireland,D13 AP23
Tyredagh Lower,,Tyredagh,County Clare,Ireland,
Redcow,Dublin 22,,County Dublin,Ireland,D22 DX09
,Dublin 4,,County Dublin,Ireland,D04 Y6V3
Bishopstown,,Cork,County Cork,Ireland,
Rush,,Rush,County Dublin,Ireland,K56 T021
Eaglehill,,Eagle Hill,County Cavan,Ireland,
,,Limerick,County Limerick,Ireland,
Ballsbridge,Dublin 4,,County Dublin,Ireland,D04 KH66
Cluain Tarbh,Dublin 3,,Contae Bhaile Átha Cliath,Ireland,D03 CT89
Templeshannon,,Enniscorthy,County Wexford,Ireland,Y21 R6W6
Annagh,,Corraquill,County Longford,Ireland,
Glasheen,,Cork,County Cork,Ireland,T12 D2W5
,,Kilmacthomas,County Waterford,Ireland,X42 P226
Lehanagh South,,Lehenagh,County Galway,Ireland,
,,Cnocan Nua,County Kerry,Ireland,
Ballintemple,,Cork,County Cork,Ireland,T12 Y5A4
Sleehaun (Sankey),,Sleehaun Sanky,County Longford,Ireland,
Crevary Upper,,Creevery Upper,County Donegal,Ireland,
Rathsnagadan,,Ballinagoth,County Kilkenny,Ireland,
Newpark,Dublin 18,,County Dublin,Ireland,
Ballsbridge,Dublin 4,,County Dublin,Ireland,D04 P8W8
Whinning,,Carnakill Point,County Westmeath,Ireland,
Kildalloge,,Strokestown,County Roscommon,Ireland,F42 NP22
Clooncullen,,Bessfort,County Longford,Ireland,
Loughrea,Loughrea,,County Galway,Ireland,
Sleveen,,Kinsale,County Cork,Ireland,
Gweeneeny,,Gweeney,County Clare,Ireland,
Inchicore,Dublin 8,,County Dublin,Ireland,D08 PD7T
Ballyvareen,,,County Limerick,Ireland,V94 DA2X
Killarney,,Bray,County Wicklow,Ireland,A98 WF20
Rath More,,Kinsale,County Cork,Ireland,P17 XV90
Lagavooren,,Drogheda,County Louth,Ireland,A92 HW2K
Dough,,,County Clare,Ireland,
Graigue,,Carlow,County Laois,Ireland,R93 R7W0
Clogher,,Clogherhead,County Louth,Ireland,A92 FX97
,,Limerick,County Limerick,Ireland,V94 VW6V
Ballinspittle,,Spittlefield,County Cork,Ireland,
Listowel,,Listowel,County Kerry,Ireland,V31 RF89
,Dublin 4,,County Dublin,Ireland,D04 AR55
Glencrue,,Upper Cloneygowny,County Tipperary,Ireland,
Belgarrow,,Cnoc An Dara,County Mayo,Ireland,F26 WT18
Drummond Etra,,Carrickmacross,County Monaghan,Ireland,
Brockagh,,Ardagh Lower,County Donegal,Ireland,
Dunfanaghy,,Dunfanaghy,County Donegal,Ireland,
,,Letterkenny,County Donegal,Ireland,
,,Midleton,County Cork,Ireland,
Mountjoy,Dublin 1,,County Dublin,Ireland,D01 RF20
Gort North,,Moville,County Donegal,Ireland,
,,Rathnew,County Wicklow,Ireland,A67 VN29
Seapoint,,Blackrock,County Dublin,Ireland,A94 Y0P4
Ranelagh,Dublin 6,,County Dublin,Ireland,
Enniskerry,,Enniskerry,County Wicklow,Ireland,
Cloonmackon,,Clounmacon,County Kerry,Ireland,
Cuilleenirwan,,Culleenirwin,County Roscommon,Ireland,
Rathcoole,,Forest Hills,County Dublin,Ireland,
Gortnabrade,,,County Donegal,Ireland,F92 XK75
Moneymore,,Drogheda,County Louth,Ireland,A92 X9XY
Toberroe West,,Tuberroe West,County Galway,Ireland,
,,Limerick,County Limerick,Ireland,
Tramore East,,Tramore,County Waterford,Ireland,X91 TY86
Garrane West,,Douglas,County Kerry,Ireland,V93 RP08
,Dublin 8,,County Dublin,Ireland,
,,Limerick,County Limerick,Ireland,
Ballythomas,,Belgooly,County Cork,Ireland,P17 AD77
Innplot,,Oranmore,County Galway,Ireland,
Ballyphehane,,Cork,County Cork,Ireland,
Murvagh Island,,Sconce,County Galway,Ireland,
Ballyboe Glencar,,Letterkenny,County Donegal,Ireland,F92 CDR9
,,Claregalway Corporate Park,County Galway,Ireland,
Ballintemple,,Cork,County Cork,Ireland,T12 WK7D
,,Galway,County Galway,Ireland,H91 TW70
Drominahilla,,Millstreet,County Cork,Ireland,P51 X5R3
Vesnoy,,Strokestown,County Roscommon,Ireland,
Kildorrery,,Kildorrery,County Cork,Ireland,P67 VH60
Town Lot,,,County Tipperary,Ireland,
Tymon South,Dublin 24,,County Dublin,Ireland,D24 PHC6
Fortunestown,,Saggart,County Dublin,Ireland,D24 N603
Cartron,,Sligo,County Sligo,Ireland,F91 Y3C1
Cartron,,Sligo,County Sligo,Ireland,F91 X09P
,,Limerick,County Limerick,Ireland,V94 FY6E
Killea,,Dunmore East,County Waterford,Ireland,X91 W2C2
Rushanes,,Glandore,County Cork,Ireland,
Ballintemple,,Cork,County Cork,Ireland,
Tullyvoheen,,Clifden,County Galway,Ireland,H71 XE72
Dublin Docklands,Dublin 1,,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,D03 KH30
,,Dublin,County Dublin,Ireland,D08 FX9K
Grand Canal Dock,,Dublin,County Dublin,Ireland,D02 EW29
Ballyhally,,Ballyholly,County Cavan,Ireland,
Coogyulla,,Doolin,County Clare,Ireland,V95 C6D0
Ballynamuddagh,,Ballynadock,County Cork,Ireland,
Cuing Beg,,,County Mayo,Ireland,
Swineford,,Swinford,County Mayo,Ireland,
Lissatava,,Lissatava,County Mayo,Ireland,
Newtownbarry,,Bunclody,County Wexford,Ireland,
,Dublin 18,,County Dublin,Ireland,D18 KN59
Brierfield (Stevens),,Brierfield Stephans,County Galway,Ireland,
,Dublin 12,,County Dublin,Ireland,D12 K6CD
Ballynashig,,Lees Cross,County Limerick,Ireland,
Carrownaglogh,,Glenree,County Mayo,Ireland,
Ballycullen,Dublin 24,,County Dublin,Ireland,D24 X3W7
,,Limerick,County Limerick,Ireland,V94 X2XY
Lagavooren,,Drogheda,County Louth,Ireland,A92 K3VN
Barnaboy,,Glen Lower,County Offaly,Ireland,
,,Dublin 4,County Dublin,Ireland,D04 P2C7
Farranboley,Dublin 14,,County Dublin,Ireland,D14 KD99
Castleknock,Dublin 15,,County Dublin,Ireland,D15 FW70
Thurles Townparks,,Thurles,County Tipperary,Ireland,E41 E735
Kineigh,,Kenneigh,County Kerry,Ireland,
Dromin,,Ballybunnion,County Kerry,Ireland,
Carhan Lower,,Cahersiveen,County Kerry,Ireland,
Shanacoole,,Pilpark,County Waterford,Ireland,
Whitehall,Dublin 14,,County Dublin,Ireland,D14 X4Y7
Cullentra,,Slaney Manor,County Wexford,Ireland,
Blessington Demesne,,Blessington,County Wicklow,Ireland,W91 YP59
Ardnaditian,,Ardnadition,County Donegal,Ireland,
Barnaboy,,Glen Lower,County Offaly,Ireland,
Cappavicar North,,Derrynanaff,County Mayo,Ireland,
Glack,,Longford,County Longford,Ireland,
Killavally West,,Killavally,County Mayo,Ireland,
Killadden,,Kiladen,County Meath,Ireland,
Crag,,Lahinch,County Clare,Ireland,
Ballinluska,,o'Regan's Avenue,County Cork,Ireland,
,,Dublin,County Dublin,Ireland,D15 X9H2
Mountjoy,Dublin 1,,County Dublin,Ireland,D01 Y8W2
Lisnagonoge,,Brown's Lane,County Tipperary,Ireland,
Ravenswell,,Bray,County Wicklow,Ireland,A98 H663
,Dublin 4,,County Dublin,Ireland,D04 X084
Townlands,,Rosscarbery,County Cork,Ireland,
Edgeworthstown,,Edgeworthstown,County Longford,Ireland,N39 YT57
Corhawnagh,,Tullybeg,County Leitrim,Ireland,
Knockacroghery,,Castlebar,County Mayo,Ireland,F23 EH28
Bofickil,,Boffickil,County Cork,Ireland,
Crossneen,,Carlow,County Laois,Ireland,R93 A2V5
Dublin Docklands,,Dublin,County Dublin,Ireland,D02 YN22
Santry,,Dublin,County Dublin,Ireland,
Kilcoole,,Kilcoole,County Wicklow,Ireland,A63 VR72
Mucklagh,,,County Offaly,Ireland,
Kill,,Kiel,County Cork,Ireland,
Clonatin Upper,,Clonattin Upper,County Wexford,Ireland,
Muckrussaun,,Muckersaune,County Mayo,Ireland,
Old-Fort,,Worlds End,County Cork,Ireland,P17 FP78
Ballygarrane,,Moyaliffe,County Cork,Ireland,
Balreask Old,,Navan,County Meath,Ireland,C15 XN2R
Kilgarve South,,Cornhill,County Galway,Ireland,
Harristown,,Fairybush Cross,County Waterford,Ireland,
Ballynascall,,Ballinascall,County Donegal,Ireland,
Gort North,,Glencrow Business Park,County Donegal,Ireland,
Tiknock,,Arklow,County Wicklow,Ireland,Y14 PK31
Windy Arbour,Dublin 14,,County Dublin,Ireland,D14 F882
Churchtown Lower,Dublin 14,,County Dublin,Ireland,D14 EE62
Clonsilla,,Dublin,County Dublin,Ireland,D15 YN5V
,Dublin 12,,County Dublin,Ireland,D12 E9F6
Smithfield,,Dublin,County Dublin,Ireland,
Brockagh,,Ardagh Lower,County Donegal,Ireland,
Murphystown,Dublin 18,,County Dublin,Ireland,D18 W9A2
Derrigra,,Ballineen,County Cork,Ireland,P47 RW10
Dromcarra South,,Boylesgrove,County Cork,Ireland,
Grange,,Cork,County Cork,Ireland,T12 T29A
Derryconnell,,Durrus Road,County Cork,Ireland,
Drompeesh,,Drompeach,County Cork,Ireland,
,,Galway,County Galway,Ireland,H91 C8VC
Breen,,Cloughroe,County Donegal,Ireland,
Clonyveey,,Ballymore,County Westmeath,Ireland,
Maumeen,,Shanacavas,County Galway,Ireland,
Slievegaura,,Gortaleen,County Kerry,Ireland,
Ballinspittle,,Spittlefield,County Cork,Ireland,
Tonamace Common,,Corclogh West,County Mayo,Ireland,
Rusheenaniska,,Durrus,County Cork,Ireland,
Kiltiernan Domain,,Kilternan,County Dublin,Ireland,
,,Dunboyne,County Meath,Ireland,A86 Y206
Carpenterstown,Dublin 15,,County Dublin,Ireland,D15 A407
Gort North,,Moville,County Donegal,Ireland,
Ranelagh,Dublin 4,,County Dublin,Ireland,
Ardbrack,,Kinsale,County Cork,Ireland,P17 TE27
Aghacarra,,Corrigeenroe,County Roscommon,Ireland,
Hughes'-Lot East,,Cashel,County Tipperary,Ireland,E25 TV07
,,Dublin,County Dublin,Ireland,
Blackrock,,Blackrock,County Dublin,Ireland,
Ballsbridge,,Dublin,County Dublin,Ireland,D04 X921
Lonart,,Knockaunnaglashy,County Kerry,Ireland,
Glanlick,,Dunquin,County Kerry,Ireland,
Ballsbridge,Dublin 4,,County Dublin,Ireland,D04 Y8X0
Templeowen,,,County Carlow,Ireland,
Whitehall,Dublin 12,,County Dublin,Ireland,D12 HD00
,Dublin 13,,County Dublin,Ireland,D13 RX72
Parknasilloge,,,County Wicklow,Ireland,
,Dublin 6,,County Dublin,Ireland,
Carrigrohane,,Model Farm Road,County Cork,Ireland,
Drummeenagh,,Castlebellingham,County Louth,Ireland,
,,Newbridge,County Kildare,Ireland,
Aghadrumderg,,Hawthorn Drive,County Leitrim,Ireland,
Maulnaskehy,,Clonakilty,County Cork,Ireland,P85 H016
Lifford,,Ennis,County Clare,Ireland,V95 D261
Coolymurraghue,,Ardnalee,County Cork,Ireland,
Foxandgeese,,,County Clare,Ireland,
Dún Laoghaire,,Dublin,County Dublin,Ireland,A96 FK85
,Dublin 7,,County Dublin,Ireland,D07 X6P9
Killiney,,Killiney,County Dublin,Ireland,
Chapelstown,,Carlow,County Carlow,Ireland,R93 X7N2
Raish,,Clarkes Road,County Mayo,Ireland,
,,Dublin,County Dublin,Ireland,D07 Y827
Caherweesheen,,Tralee,County Kerry,Ireland,V92 KFF2
Pennefatherslot,,Castlecomer,County Kilkenny,Ireland,R95 TK27
